sale_key,order_id,product_key,customer_key,location_key,order_date,ship_mode,ship_date,sales
1,CA-2017-152156,1,1,1,2017-11-08,Second Class,2017-11-11,261.96
2,CA-2017-152156,2,1,1,2017-11-08,Second Class,2017-11-11,731.94
3,CA-2017-138688,3,2,2,2017-06-12,Second Class,2017-06-16,14.62
4,US-2016-108966,4,3,3,2016-10-11,Standard Class,2016-10-18,957.5775
5,US-2016-108966,5,3,3,2016-10-11,Standard Class,2016-10-18,22.368
6,CA-2015-115812,6,4,4,2015-06-09,Standard Class,2015-06-14,48.86
7,CA-2015-115812,7,4,4,2015-06-09,Standard Class,2015-06-14,7.28
8,CA-2015-115812,8,4,4,2015-06-09,Standard Class,2015-06-14,907.152
9,CA-2015-115812,9,4,4,2015-06-09,Standard Class,2015-06-14,18.504
10,CA-2015-115812,10,4,4,2015-06-09,Standard Class,2015-06-14,114.9
11,CA-2015-115812,11,4,4,2015-06-09,Standard Class,2015-06-14,1706.184
12,CA-2015-115812,12,4,4,2015-06-09,Standard Class,2015-06-14,911.424
13,CA-2018-114412,13,5,5,2018-04-15,Standard Class,2018-04-20,15.552
14,CA-2017-161389,14,6,6,2017-12-05,Standard Class,2017-12-10,407.976
15,US-2016-118983,15,7,7,2016-11-22,Standard Class,2016-11-26,68.81
16,US-2016-118983,16,7,7,2016-11-22,Standard Class,2016-11-26,2.544
17,CA-2015-105893,17,8,8,2015-11-11,Standard Class,2015-11-18,665.88
18,CA-2015-167164,18,9,9,2015-05-13,Second Class,2015-05-15,55.5
19,CA-2015-143336,19,10,10,2015-08-27,Second Class,2015-09-01,8.56
20,CA-2015-143336,20,10,10,2015-08-27,Second Class,2015-09-01,213.48
21,CA-2015-143336,21,10,10,2015-08-27,Second Class,2015-09-01,22.72
22,CA-2017-137330,22,11,11,2017-12-09,Standard Class,2017-12-13,19.46
23,CA-2017-137330,23,11,11,2017-12-09,Standard Class,2017-12-13,60.34
24,US-2018-156909,24,12,12,2018-07-16,Second Class,2018-07-18,71.372
25,CA-2016-106320,4,13,13,2016-09-25,Standard Class,2016-09-30,1044.63
26,CA-2017-121755,25,14,14,2017-01-16,Second Class,2017-01-20,11.648
27,CA-2017-121755,26,14,14,2017-01-16,Second Class,2017-01-20,90.57
28,US-2016-150630,27,15,12,2016-09-17,Standard Class,2016-09-21,3083.43
29,US-2016-150630,28,15,12,2016-09-17,Standard Class,2016-09-21,9.618
30,US-2016-150630,29,15,12,2016-09-17,Standard Class,2016-09-21,124.2
31,US-2016-150630,30,15,12,2016-09-17,Standard Class,2016-09-21,3.264
32,US-2016-150630,31,15,12,2016-09-17,Standard Class,2016-09-21,86.304
33,US-2016-150630,32,15,12,2016-09-17,Standard Class,2016-09-21,6.858
34,US-2016-150630,33,15,12,2016-09-17,Standard Class,2016-09-21,15.76
35,CA-2018-107727,34,16,15,2018-10-19,Second Class,2018-10-23,29.472
36,CA-2017-117590,35,17,16,2017-12-08,First Class,2017-12-10,1097.544
37,CA-2017-117590,36,17,16,2017-12-08,First Class,2017-12-10,190.92
38,CA-2016-117415,37,18,17,2016-12-27,Standard Class,2016-12-31,113.328
39,CA-2016-117415,38,18,17,2016-12-27,Standard Class,2016-12-31,532.3992
40,CA-2016-117415,39,18,17,2016-12-27,Standard Class,2016-12-31,212.058
41,CA-2016-117415,40,18,17,2016-12-27,Standard Class,2016-12-31,371.168
42,CA-2018-120999,41,19,18,2018-09-10,Standard Class,2018-09-15,147.168
43,CA-2017-101343,42,20,14,2017-07-17,Standard Class,2017-07-22,77.88
44,CA-2018-139619,43,21,19,2018-09-19,Standard Class,2018-09-23,95.616
45,CA-2017-118255,44,22,20,2017-03-11,First Class,2017-03-13,45.98
46,CA-2017-118255,45,22,20,2017-03-11,First Class,2017-03-13,17.46
47,CA-2015-146703,46,23,21,2015-10-20,Second Class,2015-10-25,211.96
48,CA-2017-169194,47,24,22,2017-06-20,Standard Class,2017-06-25,45.0
49,CA-2017-169194,48,24,22,2017-06-20,Standard Class,2017-06-25,21.8
50,CA-2016-115742,49,25,23,2016-04-18,Standard Class,2016-04-22,38.22
51,CA-2016-115742,50,25,23,2016-04-18,Standard Class,2016-04-22,75.18
52,CA-2016-115742,51,25,23,2016-04-18,Standard Class,2016-04-22,6.16
53,CA-2016-115742,52,25,23,2016-04-18,Standard Class,2016-04-22,89.99
54,CA-2017-105816,53,26,24,2017-12-11,Standard Class,2017-12-17,15.26
55,CA-2017-105816,54,26,24,2017-12-11,Standard Class,2017-12-17,1029.95
56,CA-2017-111682,55,27,25,2017-06-17,First Class,2017-06-18,208.56
57,CA-2017-111682,56,27,25,2017-06-17,First Class,2017-06-18,32.4
58,CA-2017-111682,57,27,25,2017-06-17,First Class,2017-06-18,319.41
59,CA-2017-111682,58,27,25,2017-06-17,First Class,2017-06-18,14.56
60,CA-2017-111682,47,27,25,2017-06-17,First Class,2017-06-18,30.0
61,CA-2017-111682,59,27,25,2017-06-17,First Class,2017-06-18,48.48
62,CA-2017-111682,60,27,25,2017-06-17,First Class,2017-06-18,1.68
63,CA-2016-135545,61,28,26,2016-11-24,Standard Class,2016-11-30,13.98
64,CA-2016-135545,62,28,26,2016-11-24,Standard Class,2016-11-30,25.824
65,CA-2016-135545,63,28,26,2016-11-24,Standard Class,2016-11-30,146.73
66,CA-2016-135545,64,28,26,2016-11-24,Standard Class,2016-11-30,79.76
67,US-2016-164175,65,29,27,2016-04-30,Standard Class,2016-05-05,213.115
68,CA-2015-106376,66,30,28,2015-12-05,Standard Class,2015-12-10,1113.024
69,CA-2015-106376,67,30,28,2015-12-05,Standard Class,2015-12-10,167.968
70,CA-2017-119823,68,31,29,2017-06-04,First Class,2017-06-06,75.88
71,CA-2017-106075,69,32,30,2017-09-18,Standard Class,2017-09-23,4.616
72,CA-2018-114440,70,15,31,2018-09-14,Second Class,2018-09-17,19.05
73,US-2016-134026,71,33,32,2016-04-26,Standard Class,2016-05-02,831.936
74,US-2016-134026,72,33,32,2016-04-26,Standard Class,2016-05-02,97.04
75,US-2016-134026,73,33,32,2016-04-26,Standard Class,2016-05-02,72.784
76,US-2018-118038,74,34,17,2018-12-09,First Class,2018-12-11,1.248
77,US-2018-118038,75,34,17,2018-12-09,First Class,2018-12-11,9.708
78,US-2018-118038,76,34,17,2018-12-09,First Class,2018-12-11,27.24
79,US-2015-147606,77,33,33,2015-11-26,Second Class,2015-12-01,19.3
80,CA-2017-127208,78,35,34,2017-06-12,First Class,2017-06-15,208.16
81,CA-2017-127208,79,35,34,2017-06-12,First Class,2017-06-15,16.74
82,CA-2015-139451,80,36,35,2015-10-12,Standard Class,2015-10-16,14.9
83,CA-2015-139451,81,36,35,2015-10-12,Standard Class,2015-10-16,21.39
84,CA-2016-149734,82,37,36,2016-09-03,Standard Class,2016-09-08,200.984
85,US-2018-119662,83,38,37,2018-11-13,First Class,2018-11-16,230.376
86,CA-2018-140088,84,23,38,2018-05-28,Second Class,2018-05-30,301.96
87,CA-2018-155558,85,39,39,2018-10-26,Standard Class,2018-11-02,19.99
88,CA-2018-155558,86,39,39,2018-10-26,Standard Class,2018-11-02,6.16
89,CA-2017-159695,87,40,15,2017-04-05,Second Class,2017-04-10,158.368
90,CA-2017-109806,88,41,2,2017-09-17,Standard Class,2017-09-22,20.1
91,CA-2017-109806,41,41,2,2017-09-17,Standard Class,2017-09-22,73.584
92,CA-2017-109806,89,41,2,2017-09-17,Standard Class,2017-09-22,6.48
93,CA-2016-149587,90,42,40,2016-01-31,Second Class,2016-02-05,12.96
94,CA-2016-149587,91,42,40,2016-01-31,Second Class,2016-02-05,53.34
95,CA-2016-149587,92,42,40,2016-01-31,Second Class,2016-02-05,32.96
